"Weights";"Predictors";"DRS";"eqn";"Probability";"age_group";"gender";"pred"
6;"O_H_diag_R509";1;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"F";"R509"
3;"O_M_A06";0,555186742281821;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"F";"A06"
2;"O_H_diag_R060";0,52515077725003;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"F";"R060"
2;"O_M_A02BC05";0,502919354803603;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"F";"A02BC05"
2;"O_M_N02BE01";0,46939296115558;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"F";"N02BE01"
2;"O_M_A07";0,439273376575918;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"F";"A07"
5;"O_H_diag_R509";1;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"M";"R509"
2;"O_M_A06";0,568638321051663;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"M";"A06"
2;"O_M_A02BC05";0,547369107855644;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"M";"A02BC05"
2;"O_H_diag_R060";0,534821007615539;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"M";"R060"
2;"O_M_N02BE01";0,506888621535199;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"M";"N02BE01"
2;"O_M_A07";0,470251096409689;"1/(1+exp(-(NA+NA*DRS)))";NA;"[0, 18)";"M";"A07"
4;"O_H_diag_R060";1;"1/(1+exp(-(-0.533959+0.564547*DRS)))";0,507646403828274;"[18, 65)";"F";"R060"
2;"O_H_diag_R509";0,781212441756373;"1/(1+exp(-(-0.533959+0.564547*DRS)))";0,476784739135653;"[18, 65)";"F";"R509"
1;"O_M_N02BE01";0,579305868600152;"1/(1+exp(-(-0.533959+0.564547*DRS)))";0,44845536586917;"[18, 65)";"F";"N02BE01"
1;"O_H_diag_E119";0,512042271251868;"1/(1+exp(-(-0.533959+0.564547*DRS)))";0,439082362439497;"[18, 65)";"F";"E119"
1;"O_M_A02BC01";0,499755175467111;"1/(1+exp(-(-0.533959+0.564547*DRS)))";0,437374671724367;"[18, 65)";"F";"A02BC01"
1;"O_H_diag_N30_N39";0,474700782436086;"1/(1+exp(-(-0.533959+0.564547*DRS)))";0,433897187740888;"[18, 65)";"F";"N30_N39"
4;"O_H_diag_R060";1;"1/(1+exp(-(-0.646961+0.570039*DRS)))";0,480778976622289;"[18, 65)";"M";"R060"
3;"O_H_diag_R509";0,807019034465723;"1/(1+exp(-(-0.646961+0.570039*DRS)))";0,453403434609071;"[18, 65)";"M";"R509"
2;"O_H_diag_E119";0,557663728271049;"1/(1+exp(-(-0.646961+0.570039*DRS)))";0,418466698330596;"[18, 65)";"M";"E119"
1;"O_M_N02BE01";0,491747500451589;"1/(1+exp(-(-0.646961+0.570039*DRS)))";0,409351775406295;"[18, 65)";"M";"N02BE01"
1;"O_M_R05FA02";0,445261048317169;"1/(1+exp(-(-0.646961+0.570039*DRS)))";0,402960474937244;"[18, 65)";"M";"R05FA02"
1;"S_H_diag_I109";0,436669537528627;"1/(1+exp(-(-0.646961+0.570039*DRS)))";0,401782781039361;"[18, 65)";"M";"I109"
4;"O_H_diag_R060";1;"1/(1+exp(-(-1.016352+0.379596*DRS)))";0,345980217704325;"[65, 75)";"F";"R060"
3;"O_H_diag_R509";0,807027828981727;"1/(1+exp(-(-1.016352+0.379596*DRS)))";0,329597190871289;"[65, 75)";"F";"R509"
2;"O_H_diag_E119";0,685349339359721;"1/(1+exp(-(-1.016352+0.379596*DRS)))";0,319472696198275;"[65, 75)";"F";"E119"
2;"O_M_N02BE01";0,60752682157;"1/(1+exp(-(-1.016352+0.379596*DRS)))";0,313084696850536;"[65, 75)";"F";"N02BE01"
2;"S_H_diag_I109";0,594569639342603;"1/(1+exp(-(-1.016352+0.379596*DRS)))";0,312027885985067;"[65, 75)";"F";"I109"
2;"O_M_H02AB06";0,559085116347442;"1/(1+exp(-(-1.016352+0.379596*DRS)))";0,309143721175259;"[65, 75)";"F";"H02AB06"
4;"O_H_diag_R060";1;"1/(1+exp(-(-0.742063+0.33858*DRS)))";0,400475800098908;"[65, 75)";"M";"R060"
3;"O_H_diag_R509";0,858265955905797;"1/(1+exp(-(-0.742063+0.33858*DRS)))";0,389011005284418;"[65, 75)";"M";"R509"
3;"O_H_diag_E119";0,795890588319673;"1/(1+exp(-(-0.742063+0.33858*DRS)))";0,384003322582642;"[65, 75)";"M";"E119"
2;"S_H_diag_I109";0,617992109101143;"1/(1+exp(-(-0.742063+0.33858*DRS)))";0,369858655122264;"[65, 75)";"M";"I109"
2;"O_M_C03CA01";0,581938826667116;"1/(1+exp(-(-0.742063+0.33858*DRS)))";0,367018218488494;"[65, 75)";"M";"C03CA01"
1;"O_H_diag_Z921";0,510000952570589;"1/(1+exp(-(-0.742063+0.33858*DRS)))";0,361378311706313;"[65, 75)";"M";"Z921"
4;"O_H_diag_R060";1;"1/(1+exp(-(-0.766771+0.185187*DRS)))";0,358568196786936;"[75,108)";"F";"R060"
3;"O_H_diag_R509";0,805860593850865;"1/(1+exp(-(-0.766771+0.185187*DRS)))";0,3503420355338;"[75,108)";"F";"R509"
3;"S_H_diag_I109";0,722905859332442;"1/(1+exp(-(-0.766771+0.185187*DRS)))";0,346853663123689;"[75,108)";"F";"I109"
2;"O_H_diag_I489";0,616748381495483;"1/(1+exp(-(-0.766771+0.185187*DRS)))";0,342413505808785;"[75,108)";"F";"I489"
2;"O_H_diag_E119";0,602726042553011;"1/(1+exp(-(-0.766771+0.185187*DRS)))";0,341829043107342;"[75,108)";"F";"E119"
2;"O_M_H02AB06";0,597042534646351;"1/(1+exp(-(-0.766771+0.185187*DRS)))";0,341592286393013;"[75,108)";"F";"H02AB06"
4;"O_H_diag_R060";1;"1/(1+exp(-(-0.585854+0.160165*DRS)))";0,395156227033188;"[75,108)";"M";"R060"
3;"O_H_diag_R509";0,826559019098825;"1/(1+exp(-(-0.585854+0.160165*DRS)))";0,388536493552797;"[75,108)";"M";"R509"
2;"O_H_diag_E119";0,675984538582165;"1/(1+exp(-(-0.585854+0.160165*DRS)))";0,382822569276021;"[75,108)";"M";"E119"
2;"S_H_diag_I109";0,627856759887164;"1/(1+exp(-(-0.585854+0.160165*DRS)))";0,381002965799014;"[75,108)";"M";"I109"
1;"O_H_diag_Z921";0,577412789607355;"1/(1+exp(-(-0.585854+0.160165*DRS)))";0,379099372773679;"[75,108)";"M";"Z921"
1;"O_H_diag_I489";0,549280568476311;"1/(1+exp(-(-0.585854+0.160165*DRS)))";0,378039363776422;"[75,108)";"M";"I489"
3;"O_H_diag_R060";1;"1/(1+exp(-(-0.316031+0.353031*DRS)))";0,509248944873613;"all";"both";"R060"
3;"O_H_diag_R509";0,835192369334627;"1/(1+exp(-(-0.316031+0.353031*DRS)))";0,494704647328918;"all";"both";"R509"
1;"O_H_diag_E119";0,621527012523612;"1/(1+exp(-(-0.316031+0.353031*DRS)))";0,475865595340923;"all";"both";"E119"
1;"O_M_N02BE01";0,575236559965496;"1/(1+exp(-(-0.316031+0.353031*DRS)))";0,471791320428686;"all";"both";"N02BE01"
1;"S_H_diag_I109";0,556033509076937;"1/(1+exp(-(-0.316031+0.353031*DRS)))";0,470102226313531;"all";"both";"I109"
1;"O_H_diag_Z921";0,515349499580787;"1/(1+exp(-(-0.316031+0.353031*DRS)))";0,46652598283858;"all";"both";"Z921"
